jp_friday_date,etf_jp_friday_return,spy_matched_date,spy_next_return,direction
2020-01-10,-0.05701086544296116,2020-01-10,-0.0853659503131061,1
2020-01-17,-0.05793690882423372,2020-01-17,-0.08023629455340833,1
2020-01-24,-0.058838404605263156,2020-01-24,-0.09107519658244254,1
2020-01-31,-0.05883817561405642,2020-01-31,-0.09574082867450306,1
2020-02-07,-0.06062938570409134,2020-02-07,-0.08264099823159066,1
2020-02-14,-0.05615447882010456,2020-02-14,-0.08068346135567449,1
2020-02-21,-0.057962075913640596,2020-02-21,-0.08638065636581285,1
2020-02-28,-0.08302245048179871,2020-02-28,-0.056861740260854984,1
2020-03-06,-0.07511782094594595,2020-03-06,-0.06741620990930715,1
2020-03-13,-0.016524461959298364,2020-03-13,-0.059165231883834386,1
2020-03-27,-0.07042891779556651,2020-03-27,-0.0749769419199059,1
2020-04-03,-0.08606678704795598,2020-04-03,-0.08499917274189724,1
2020-04-17,-0.056711356814971754,2020-04-17,-0.07144254957475576,1
2020-04-24,-0.059940125512295085,2020-04-24,-0.06814758753733166,1
2020-05-01,-0.06628244173728813,2020-05-01,-0.08368978712034329,1
2020-05-08,-0.045974849622722094,2020-05-08,-0.07123672358479696,1
2020-05-15,-0.062057707383124286,2020-05-15,-0.06272320511850595,1
2020-05-22,-0.07124903416895605,2020-05-22,-0.07279401023779405,1
2020-05-29,-0.061870951094253494,2020-05-29,-0.069839206078816,1
2020-06-05,-0.05010581105025773,2020-06-05,-0.06937541949282698,1
2020-06-12,-0.04498789612676057,2020-06-12,-0.08761111432330258,1
2020-06-19,-0.05821624147429171,2020-06-19,-0.08780032255360343,1
2020-06-26,-0.057237240412685776,2020-06-26,-0.0899868833026606,1
2020-07-10,-0.06988485036802686,2020-07-10,-0.061766273662992956,1
2020-07-17,-0.05719566616861648,2020-07-17,-0.07191787445659409,1
2020-07-31,-0.06586565290178571,2020-07-31,-0.06968945203294924,1
2020-08-07,-0.05717081423439049,2020-08-07,-0.06786214603368086,1
2020-08-14,-0.05623553590876089,2020-08-14,-0.07026916991662255,1
2020-08-21,-0.05715536671539961,2020-08-21,-0.06716955524912348,1
2020-08-28,-0.05623542033450704,2020-08-28,-0.06842700505220319,1
2020-09-04,-0.04990150107861937,2020-09-04,-0.08100661012866528,1
2020-09-11,-0.05252707131016699,2020-09-11,-0.07632284183694334,1
2020-09-18,-0.056235550366186694,2020-09-18,-0.08086007212038068,1
2020-09-25,-0.05815380065421748,2020-09-25,-0.049965559164303834,1
2020-10-02,-0.07747485017123287,2020-10-02,-0.061724536591927275,1
2020-10-09,-0.058929367863939104,2020-10-09,-0.06425912564435664,1
2020-10-16,-0.0607083086492891,2020-10-16,-0.07220071219927447,1
2020-10-23,-0.06167494071205572,2020-10-23,-0.06814313417554194,1
2020-10-30,-0.0706074516180203,2020-10-30,-0.07268060409336029,1
2020-11-06,-0.06257544460772553,2020-11-06,-0.06712655101737182,1
2020-11-13,-0.06065807682169635,2020-11-13,-0.060313171332837465,1
2020-11-20,-0.0535593764768431,2020-11-20,-0.07339814726289336,1
2020-11-27,-0.05797673186692805,2020-11-27,-0.06817488122476946,1
2020-12-04,-0.05537359089611872,2020-12-04,-0.06131804829075146,1
2020-12-11,-0.0559896727621337,2020-12-11,-0.06416260274383892,1
2020-12-18,-0.05163950333295351,2020-12-18,-0.06828288545234451,1
2021-01-08,-0.0457295068921612,2021-01-08,-0.06211725232261633,1
2021-01-15,-0.05834108932130204,2021-01-15,-0.06630031315513213,1
2021-01-22,-0.05327216968201754,2021-01-22,-0.06222232796149444,1
2021-01-29,-0.05836788194444444,2021-01-29,-0.07762325403188199,1
2021-02-05,-0.0483360813088613,2021-02-05,-0.06494725301712868,1
2021-02-12,-0.049965728811754685,2021-02-12,-0.057065169529703655,1
2021-02-19,-0.05318341198709814,2021-02-19,-0.06863687842239839,1
2021-02-26,-0.056477752816523605,2021-02-26,-0.07348475482836354,1
2021-03-05,-0.0466861642711025,2021-03-05,-0.05596453588791387,1
2021-03-12,-0.04922694771291768,2021-03-12,-0.05901341521792432,1
2021-03-19,-0.049998643663194446,2021-03-19,-0.06166260214402656,1
2021-03-26,-0.046902958681688416,2021-03-26,-0.048565206197598534,1
2021-04-09,-0.05372200723020187,2021-04-09,-0.05356885050534579,1
2021-04-16,-0.05077426382211538,2021-04-16,-0.060676405571262734,1
2021-04-23,-0.05077424190717629,2021-04-23,-0.05189437090488497,1
2021-04-30,-0.05294472298971037,2021-04-30,-0.06144122353835249,1
2021-05-07,-0.04788029368330793,2021-05-07,-0.055710476870483486,1
2021-05-14,-0.04637290801294436,2021-05-14,-0.05303829782205625,1
2021-05-21,-0.05223460036057692,2021-05-21,-0.06504782285441373,1
2021-05-28,-0.05077426404838102,2021-05-28,-0.06277412954366444,1
2021-06-04,-0.05077425351150076,2021-06-04,-0.056568891465203504,1
2021-06-11,-0.04523730616044495,2021-06-11,-0.0604553061376301,1
2021-06-18,-0.05024681062734082,2021-06-18,-0.06252895160349171,1
2021-06-25,-0.04809498294616519,2021-06-25,-0.056054894667778646,1
2021-07-02,-0.04739264889039855,2021-07-02,-0.053150651578233184,1
2021-07-09,-0.043885266131259204,2021-07-09,-0.05111145777616158,1
2021-07-16,-0.04391335486669101,2021-07-16,-0.06771947094373304,1
2021-07-30,-0.049466504898403485,2021-07-30,-0.05633476161256523,1
2021-08-06,-0.04602201832284172,2021-08-06,-0.05679465480588342,1
2021-08-13,-0.047392578125,2021-08-13,-0.05692786149639619,1
2021-08-20,-0.04876812105144404,2021-08-20,-0.05092587361357079,1
2021-08-27,-0.04671747652374203,2021-08-27,-0.051028964944098885,1
2021-09-03,-0.04339279270906228,2021-09-03,-0.055332436535990966,1
2021-09-10,-0.04335330167844523,2021-09-10,-0.06932633651921669,1
2021-09-17,-0.04332742487553343,2021-09-17,-0.062086451058598176,1
2021-09-24,-0.0480682070035461,2021-09-24,-0.04931702539891516,1
2021-10-01,-0.05498039803584359,2021-10-01,-0.04745583119187008,1
2021-10-08,-0.046043331157046744,2021-10-08,-0.05809186257424112,1
2021-10-15,-0.04214771163110805,2021-10-15,-0.052226194710862844,1
2021-10-22,-0.043535907451923074,2021-10-22,-0.05462789877590253,1
2021-10-29,-0.04930412573160535,2021-10-29,-0.04759743439995908,1
2021-11-05,-0.04925801648172324,2021-11-05,-0.0561177996207023,1
2021-11-12,-0.04676825647116645,2021-11-12,-0.05023688653512894,1
2021-11-19,-0.04431371707336781,2021-11-19,-0.05605633674677577,1
2021-11-26,-0.05782703517638531,2021-11-26,-0.06149799633094668,1
2021-12-03,-0.04130862657563025,2021-12-03,-0.0664456656260636,1
2021-12-10,-0.045603894167489306,2021-12-10,-0.051564579474573206,1
2021-12-17,-0.045287588346482575,2021-12-17,-0.05473863847496077,1
2022-01-07,-0.04279866328324808,2022-01-07,-0.05505652680949115,1
2022-01-14,-0.04653393858464309,2022-01-14,-0.04402401650472986,1
2022-01-21,-0.04535336847174658,2022-01-21,-0.06742524542623309,1
2022-01-28,-0.04005449443090846,2022-01-28,-0.030959740748697742,1
2022-02-04,-0.04275472414154104,2022-02-04,-0.046290451174029364,1
2022-02-18,-0.03611059333938451,2022-02-18,-0.05801040568987851,1
2022-02-25,-0.047094812831272086,2022-02-25,-0.03330977321192886,1
2022-03-04,-0.051953999935389385,2022-03-04,-0.05036252126158078,1
